Epoch 1/150 | Train Loss: 0.5085 | Val Loss: 0.4182
Epoch 2/150 | Train Loss: 0.3899 | Val Loss: 0.3400
Epoch 3/150 | Train Loss: 0.3772 | Val Loss: 0.3885
Epoch 4/150 | Train Loss: 0.3421 | Val Loss: 0.3867
Epoch 5/150 | Train Loss: 0.3324 | Val Loss: 0.3631
Epoch 6/150 | Train Loss: 0.3242 | Val Loss: 0.3141
Epoch 7/150 | Train Loss: 0.3285 | Val Loss: 0.3143
Epoch 8/150 | Train Loss: 0.3383 | Val Loss: 0.3909
Epoch 9/150 | Train Loss: 0.3249 | Val Loss: 0.3353
Epoch 10/150 | Train Loss: 0.3243 | Val Loss: 0.3169
Epoch 11/150 | Train Loss: 0.3381 | Val Loss: 0.3263
Epoch 12/150 | Train Loss: 0.3222 | Val Loss: 0.3288
Epoch 13/150 | Train Loss: 0.3194 | Val Loss: 0.3143
Epoch 14/150 | Train Loss: 0.3057 | Val Loss: 0.3263
Epoch 15/150 | Train Loss: 0.3119 | Val Loss: 0.3222
Epoch 16/150 | Train Loss: 0.3082 | Val Loss: 0.3043
Epoch 17/150 | Train Loss: 0.3007 | Val Loss: 0.3307
Epoch 18/150 | Train Loss: 0.2844 | Val Loss: 0.3423
Epoch 19/150 | Train Loss: 0.3116 | Val Loss: 0.3617
Epoch 20/150 | Train Loss: 0.3012 | Val Loss: 0.3297
Epoch 21/150 | Train Loss: 0.2900 | Val Loss: 0.3094
Epoch 22/150 | Train Loss: 0.2994 | Val Loss: 0.3302
Epoch 23/150 | Train Loss: 0.3227 | Val Loss: 0.3271
Epoch 24/150 | Train Loss: 0.3021 | Val Loss: 0.3318
Epoch 25/150 | Train Loss: 0.2934 | Val Loss: 0.3530
Epoch 26/150 | Train Loss: 0.3171 | Val Loss: 0.3192
Epoch 27/150 | Train Loss: 0.3042 | Val Loss: 0.3134
Epoch 28/150 | Train Loss: 0.2919 | Val Loss: 0.2922
Epoch 29/150 | Train Loss: 0.2909 | Val Loss: 0.3221
Epoch 30/150 | Train Loss: 0.3018 | Val Loss: 0.3263
Epoch 31/150 | Train Loss: 0.2864 | Val Loss: 0.3929
Epoch 32/150 | Train Loss: 0.2859 | Val Loss: 0.3394
Epoch 33/150 | Train Loss: 0.2905 | Val Loss: 0.3515
Epoch 34/150 | Train Loss: 0.2988 | Val Loss: 0.3399
Epoch 35/150 | Train Loss: 0.2767 | Val Loss: 0.3819
Epoch 36/150 | Train Loss: 0.2768 | Val Loss: 0.3036
Epoch 37/150 | Train Loss: 0.2901 | Val Loss: 0.3089
Epoch 38/150 | Train Loss: 0.2885 | Val Loss: 0.3098
Epoch 39/150 | Train Loss: 0.2995 | Val Loss: 0.3200
Epoch 40/150 | Train Loss: 0.2898 | Val Loss: 0.3046
Epoch 41/150 | Train Loss: 0.3018 | Val Loss: 0.3254
Epoch 42/150 | Train Loss: 0.2812 | Val Loss: 0.3575
Epoch 43/150 | Train Loss: 0.2984 | Val Loss: 0.2952
Epoch 44/150 | Train Loss: 0.2770 | Val Loss: 0.2985
Epoch 45/150 | Train Loss: 0.2772 | Val Loss: 0.3111
Epoch 46/150 | Train Loss: 0.2809 | Val Loss: 0.2633
Epoch 47/150 | Train Loss: 0.2804 | Val Loss: 0.2864
Epoch 48/150 | Train Loss: 0.2864 | Val Loss: 0.3402
Epoch 49/150 | Train Loss: 0.2797 | Val Loss: 0.3053
Epoch 50/150 | Train Loss: 0.2798 | Val Loss: 0.3197
Epoch 51/150 | Train Loss: 0.2921 | Val Loss: 0.3008
Epoch 52/150 | Train Loss: 0.2884 | Val Loss: 0.2796
Epoch 53/150 | Train Loss: 0.2957 | Val Loss: 0.3008
Epoch 54/150 | Train Loss: 0.2763 | Val Loss: 0.2748
Epoch 55/150 | Train Loss: 0.2871 | Val Loss: 0.3250
Epoch 56/150 | Train Loss: 0.2956 | Val Loss: 0.3183
Epoch 57/150 | Train Loss: 0.2803 | Val Loss: 0.3775
Epoch 58/150 | Train Loss: 0.2998 | Val Loss: 0.2967
Epoch 59/150 | Train Loss: 0.2670 | Val Loss: 0.3373
Epoch 60/150 | Train Loss: 0.2958 | Val Loss: 0.2784
Epoch 61/150 | Train Loss: 0.2922 | Val Loss: 0.3212
Epoch 62/150 | Train Loss: 0.2670 | Val Loss: 0.3209
Epoch 63/150 | Train Loss: 0.2679 | Val Loss: 0.3268
Epoch 64/150 | Train Loss: 0.2706 | Val Loss: 0.3524
Epoch 65/150 | Train Loss: 0.2861 | Val Loss: 0.2908
Epoch 66/150 | Train Loss: 0.2781 | Val Loss: 0.3109
Epoch 67/150 | Train Loss: 0.2800 | Val Loss: 0.3056
Epoch 68/150 | Train Loss: 0.2878 | Val Loss: 0.2959
Epoch 69/150 | Train Loss: 0.2734 | Val Loss: 0.3081
Epoch 70/150 | Train Loss: 0.2888 | Val Loss: 0.3006
Epoch 71/150 | Train Loss: 0.2915 | Val Loss: 0.3166
Epoch 72/150 | Train Loss: 0.2883 | Val Loss: 0.3216
Epoch 73/150 | Train Loss: 0.2912 | Val Loss: 0.3028
Epoch 74/150 | Train Loss: 0.2909 | Val Loss: 0.3249
Epoch 75/150 | Train Loss: 0.2725 | Val Loss: 0.2957
Epoch 76/150 | Train Loss: 0.2849 | Val Loss: 0.2893
Epoch 77/150 | Train Loss: 0.2762 | Val Loss: 0.3181
Epoch 78/150 | Train Loss: 0.2830 | Val Loss: 0.2885
Epoch 79/150 | Train Loss: 0.2630 | Val Loss: 0.2618
Epoch 80/150 | Train Loss: 0.2731 | Val Loss: 0.2980
Epoch 81/150 | Train Loss: 0.2716 | Val Loss: 0.2690
Epoch 82/150 | Train Loss: 0.2524 | Val Loss: 0.2530
Epoch 83/150 | Train Loss: 0.2702 | Val Loss: 0.2874
Epoch 84/150 | Train Loss: 0.2948 | Val Loss: 0.3036
Epoch 85/150 | Train Loss: 0.2601 | Val Loss: 0.3030
Epoch 86/150 | Train Loss: 0.2682 | Val Loss: 0.2870
Epoch 87/150 | Train Loss: 0.2729 | Val Loss: 0.3181
Epoch 88/150 | Train Loss: 0.2828 | Val Loss: 0.2861
Epoch 89/150 | Train Loss: 0.2732 | Val Loss: 0.3268
Epoch 90/150 | Train Loss: 0.2642 | Val Loss: 0.3110
Epoch 91/150 | Train Loss: 0.2858 | Val Loss: 0.3268
Epoch 92/150 | Train Loss: 0.2749 | Val Loss: 0.3095
Epoch 93/150 | Train Loss: 0.2720 | Val Loss: 0.3159
Epoch 94/150 | Train Loss: 0.2706 | Val Loss: 0.2956
Epoch 95/150 | Train Loss: 0.2520 | Val Loss: 0.2994
Epoch 96/150 | Train Loss: 0.2769 | Val Loss: 0.2953
Epoch 97/150 | Train Loss: 0.2724 | Val Loss: 0.3007
Epoch 98/150 | Train Loss: 0.2725 | Val Loss: 0.3280
Epoch 99/150 | Train Loss: 0.2594 | Val Loss: 0.3131
Epoch 100/150 | Train Loss: 0.2704 | Val Loss: 0.2961
Epoch 101/150 | Train Loss: 0.2587 | Val Loss: 0.3240
Epoch 102/150 | Train Loss: 0.2791 | Val Loss: 0.2856
Epoch 103/150 | Train Loss: 0.2664 | Val Loss: 0.3064
Epoch 104/150 | Train Loss: 0.2702 | Val Loss: 0.3014
Epoch 105/150 | Train Loss: 0.2539 | Val Loss: 0.3074
Epoch 106/150 | Train Loss: 0.2711 | Val Loss: 0.2497
Epoch 107/150 | Train Loss: 0.2788 | Val Loss: 0.3031
Epoch 108/150 | Train Loss: 0.2667 | Val Loss: 0.3028
Epoch 109/150 | Train Loss: 0.2726 | Val Loss: 0.2810
Epoch 110/150 | Train Loss: 0.2633 | Val Loss: 0.2718
Epoch 111/150 | Train Loss: 0.2466 | Val Loss: 0.2748
Epoch 112/150 | Train Loss: 0.2703 | Val Loss: 0.3070
Epoch 113/150 | Train Loss: 0.2745 | Val Loss: 0.2965
Epoch 114/150 | Train Loss: 0.2640 | Val Loss: 0.2838
Epoch 115/150 | Train Loss: 0.2614 | Val Loss: 0.3322
Epoch 116/150 | Train Loss: 0.2671 | Val Loss: 0.3064
Epoch 117/150 | Train Loss: 0.2700 | Val Loss: 0.2861
Epoch 118/150 | Train Loss: 0.2517 | Val Loss: 0.3189
Epoch 119/150 | Train Loss: 0.2716 | Val Loss: 0.3190
Epoch 120/150 | Train Loss: 0.2650 | Val Loss: 0.3101
Epoch 121/150 | Train Loss: 0.2649 | Val Loss: 0.2702
Epoch 122/150 | Train Loss: 0.2629 | Val Loss: 0.2797
Epoch 123/150 | Train Loss: 0.2858 | Val Loss: 0.2857
Epoch 124/150 | Train Loss: 0.2482 | Val Loss: 0.3113
Epoch 125/150 | Train Loss: 0.2647 | Val Loss: 0.2926
Epoch 126/150 | Train Loss: 0.2765 | Val Loss: 0.2965
Epoch 127/150 | Train Loss: 0.2569 | Val Loss: 0.3101
Epoch 128/150 | Train Loss: 0.2638 | Val Loss: 0.2997
Epoch 129/150 | Train Loss: 0.2628 | Val Loss: 0.3170
Epoch 130/150 | Train Loss: 0.2650 | Val Loss: 0.3068
Epoch 131/150 | Train Loss: 0.2623 | Val Loss: 0.3342
Epoch 132/150 | Train Loss: 0.2591 | Val Loss: 0.3290
Epoch 133/150 | Train Loss: 0.2538 | Val Loss: 0.2954
Epoch 134/150 | Train Loss: 0.2675 | Val Loss: 0.2859
Epoch 135/150 | Train Loss: 0.2527 | Val Loss: 0.2938
Epoch 136/150 | Train Loss: 0.2643 | Val Loss: 0.2818
Epoch 137/150 | Train Loss: 0.2646 | Val Loss: 0.3395
Epoch 138/150 | Train Loss: 0.2495 | Val Loss: 0.3314
Epoch 139/150 | Train Loss: 0.2656 | Val Loss: 0.2764
Epoch 140/150 | Train Loss: 0.2692 | Val Loss: 0.2675
Epoch 141/150 | Train Loss: 0.2564 | Val Loss: 0.3358
Epoch 142/150 | Train Loss: 0.2584 | Val Loss: 0.3325
Epoch 143/150 | Train Loss: 0.2795 | Val Loss: 0.3031
Epoch 144/150 | Train Loss: 0.2765 | Val Loss: 0.2950
Epoch 145/150 | Train Loss: 0.2647 | Val Loss: 0.3010
