Epoch 1/150 | Train Loss: 0.6454 | Val Loss: 0.4751
Epoch 2/150 | Train Loss: 0.4583 | Val Loss: 0.4085
Epoch 3/150 | Train Loss: 0.4161 | Val Loss: 0.3831
Epoch 4/150 | Train Loss: 0.3971 | Val Loss: 0.3570
Epoch 5/150 | Train Loss: 0.3997 | Val Loss: 0.3729
Epoch 6/150 | Train Loss: 0.3913 | Val Loss: 0.3886
Epoch 7/150 | Train Loss: 0.3921 | Val Loss: 0.3339
Epoch 8/150 | Train Loss: 0.3874 | Val Loss: 0.3920
Epoch 9/150 | Train Loss: 0.3697 | Val Loss: 0.3592
Epoch 10/150 | Train Loss: 0.3597 | Val Loss: 0.3357
Epoch 11/150 | Train Loss: 0.3708 | Val Loss: 0.3738
Epoch 12/150 | Train Loss: 0.3724 | Val Loss: 0.3484
Epoch 13/150 | Train Loss: 0.3704 | Val Loss: 0.3347
Epoch 14/150 | Train Loss: 0.3556 | Val Loss: 0.3677
Epoch 15/150 | Train Loss: 0.3511 | Val Loss: 0.3702
Epoch 16/150 | Train Loss: 0.3515 | Val Loss: 0.4154
Epoch 17/150 | Train Loss: 0.3262 | Val Loss: 0.3337
Epoch 18/150 | Train Loss: 0.3427 | Val Loss: 0.3216
Epoch 19/150 | Train Loss: 0.3250 | Val Loss: 0.3624
Epoch 20/150 | Train Loss: 0.3372 | Val Loss: 0.3929
Epoch 21/150 | Train Loss: 0.3193 | Val Loss: 0.3407
Epoch 22/150 | Train Loss: 0.3562 | Val Loss: 0.3141
Epoch 23/150 | Train Loss: 0.3441 | Val Loss: 0.3436
Epoch 24/150 | Train Loss: 0.3452 | Val Loss: 0.3491
Epoch 25/150 | Train Loss: 0.3282 | Val Loss: 0.3055
Epoch 26/150 | Train Loss: 0.3537 | Val Loss: 0.3432
Epoch 27/150 | Train Loss: 0.3315 | Val Loss: 0.3234
Epoch 28/150 | Train Loss: 0.3356 | Val Loss: 0.3547
Epoch 29/150 | Train Loss: 0.3395 | Val Loss: 0.3204
Epoch 30/150 | Train Loss: 0.3223 | Val Loss: 0.3232
Epoch 31/150 | Train Loss: 0.3248 | Val Loss: 0.2911
Epoch 32/150 | Train Loss: 0.3169 | Val Loss: 0.3152
Epoch 33/150 | Train Loss: 0.3279 | Val Loss: 0.3054
Epoch 34/150 | Train Loss: 0.3205 | Val Loss: 0.3206
Epoch 35/150 | Train Loss: 0.3091 | Val Loss: 0.3240
Epoch 36/150 | Train Loss: 0.3044 | Val Loss: 0.3189
Epoch 37/150 | Train Loss: 0.3341 | Val Loss: 0.3206
Epoch 38/150 | Train Loss: 0.3182 | Val Loss: 0.3013
Epoch 39/150 | Train Loss: 0.3112 | Val Loss: 0.3570
Epoch 40/150 | Train Loss: 0.3385 | Val Loss: 0.3297
Epoch 41/150 | Train Loss: 0.3123 | Val Loss: 0.3398
Epoch 42/150 | Train Loss: 0.3264 | Val Loss: 0.3159
Epoch 43/150 | Train Loss: 0.3132 | Val Loss: 0.3109
Epoch 44/150 | Train Loss: 0.3121 | Val Loss: 0.3182
Epoch 45/150 | Train Loss: 0.3068 | Val Loss: 0.3393
Epoch 46/150 | Train Loss: 0.3092 | Val Loss: 0.3502
Epoch 47/150 | Train Loss: 0.3173 | Val Loss: 0.3172
Epoch 48/150 | Train Loss: 0.3221 | Val Loss: 0.3231
