Epoch 1/150 | Train Loss: 0.7345 | Val Loss: 0.6872
Epoch 2/150 | Train Loss: 0.6825 | Val Loss: 0.6928
Epoch 3/150 | Train Loss: 0.6474 | Val Loss: 0.6091
Epoch 4/150 | Train Loss: 0.6258 | Val Loss: 0.5980
Epoch 5/150 | Train Loss: 0.6174 | Val Loss: 0.6230
Epoch 6/150 | Train Loss: 0.5938 | Val Loss: 0.6083
Epoch 7/150 | Train Loss: 0.5874 | Val Loss: 0.6164
Epoch 8/150 | Train Loss: 0.5941 | Val Loss: 0.6439
Epoch 9/150 | Train Loss: 0.5782 | Val Loss: 0.5796
Epoch 10/150 | Train Loss: 0.5791 | Val Loss: 0.5561
Epoch 11/150 | Train Loss: 0.5761 | Val Loss: 0.5708
Epoch 12/150 | Train Loss: 0.5478 | Val Loss: 0.5201
Epoch 13/150 | Train Loss: 0.5590 | Val Loss: 0.5622
Epoch 14/150 | Train Loss: 0.5331 | Val Loss: 0.5451
Epoch 15/150 | Train Loss: 0.5461 | Val Loss: 0.5546
Epoch 16/150 | Train Loss: 0.5423 | Val Loss: 0.5256
Epoch 17/150 | Train Loss: 0.5355 | Val Loss: 0.4798
Epoch 18/150 | Train Loss: 0.5381 | Val Loss: 0.5357
Epoch 19/150 | Train Loss: 0.5342 | Val Loss: 0.4979
Epoch 20/150 | Train Loss: 0.5227 | Val Loss: 0.5741
Epoch 21/150 | Train Loss: 0.5212 | Val Loss: 0.5191
Epoch 22/150 | Train Loss: 0.5245 | Val Loss: 0.5001
Epoch 23/150 | Train Loss: 0.5295 | Val Loss: 0.5148
Epoch 24/150 | Train Loss: 0.5037 | Val Loss: 0.5083
Epoch 25/150 | Train Loss: 0.5082 | Val Loss: 0.5011
Epoch 26/150 | Train Loss: 0.5261 | Val Loss: 0.5451
Epoch 27/150 | Train Loss: 0.5089 | Val Loss: 0.4984
Epoch 28/150 | Train Loss: 0.4977 | Val Loss: 0.4733
Epoch 29/150 | Train Loss: 0.4974 | Val Loss: 0.4722
Epoch 30/150 | Train Loss: 0.5022 | Val Loss: 0.4759
Epoch 31/150 | Train Loss: 0.4899 | Val Loss: 0.5057
Epoch 32/150 | Train Loss: 0.4735 | Val Loss: 0.4748
Epoch 33/150 | Train Loss: 0.4834 | Val Loss: 0.4688
Epoch 34/150 | Train Loss: 0.4708 | Val Loss: 0.4746
Epoch 35/150 | Train Loss: 0.4697 | Val Loss: 0.4865
Epoch 36/150 | Train Loss: 0.4838 | Val Loss: 0.4828
Epoch 37/150 | Train Loss: 0.4802 | Val Loss: 0.4502
Epoch 38/150 | Train Loss: 0.4869 | Val Loss: 0.4969
Epoch 39/150 | Train Loss: 0.4628 | Val Loss: 0.4338
Epoch 40/150 | Train Loss: 0.4708 | Val Loss: 0.5122
Epoch 41/150 | Train Loss: 0.4804 | Val Loss: 0.4912
Epoch 42/150 | Train Loss: 0.4536 | Val Loss: 0.4409
Epoch 43/150 | Train Loss: 0.4734 | Val Loss: 0.4368
Epoch 44/150 | Train Loss: 0.4565 | Val Loss: 0.4136
Epoch 45/150 | Train Loss: 0.4578 | Val Loss: 0.4818
Epoch 46/150 | Train Loss: 0.4455 | Val Loss: 0.4829
Epoch 47/150 | Train Loss: 0.4519 | Val Loss: 0.4354
Epoch 48/150 | Train Loss: 0.4578 | Val Loss: 0.4856
Epoch 49/150 | Train Loss: 0.4548 | Val Loss: 0.4585
Epoch 50/150 | Train Loss: 0.4535 | Val Loss: 0.4620
Epoch 51/150 | Train Loss: 0.4363 | Val Loss: 0.5301
Epoch 52/150 | Train Loss: 0.4408 | Val Loss: 0.4608
Epoch 53/150 | Train Loss: 0.4332 | Val Loss: 0.4905
Epoch 54/150 | Train Loss: 0.4455 | Val Loss: 0.4570
Epoch 55/150 | Train Loss: 0.4428 | Val Loss: 0.4546
Epoch 56/150 | Train Loss: 0.4541 | Val Loss: 0.5203
Epoch 57/150 | Train Loss: 0.4425 | Val Loss: 0.4344
Epoch 58/150 | Train Loss: 0.4235 | Val Loss: 0.4510
Epoch 59/150 | Train Loss: 0.4334 | Val Loss: 0.4441
Epoch 60/150 | Train Loss: 0.4357 | Val Loss: 0.3860
Epoch 61/150 | Train Loss: 0.4268 | Val Loss: 0.4200
Epoch 62/150 | Train Loss: 0.4047 | Val Loss: 0.4362
Epoch 63/150 | Train Loss: 0.4282 | Val Loss: 0.4523
Epoch 64/150 | Train Loss: 0.4364 | Val Loss: 0.5455
Epoch 65/150 | Train Loss: 0.4397 | Val Loss: 0.4657
Epoch 66/150 | Train Loss: 0.4106 | Val Loss: 0.4602
Epoch 67/150 | Train Loss: 0.4238 | Val Loss: 0.4366
Epoch 68/150 | Train Loss: 0.3998 | Val Loss: 0.4618
Epoch 69/150 | Train Loss: 0.4097 | Val Loss: 0.4561
Epoch 70/150 | Train Loss: 0.4230 | Val Loss: 0.4946
Epoch 71/150 | Train Loss: 0.4243 | Val Loss: 0.4498
Epoch 72/150 | Train Loss: 0.4232 | Val Loss: 0.4627
Epoch 73/150 | Train Loss: 0.4096 | Val Loss: 0.4653
Epoch 74/150 | Train Loss: 0.4294 | Val Loss: 0.4219
Epoch 75/150 | Train Loss: 0.4085 | Val Loss: 0.4291
Epoch 76/150 | Train Loss: 0.4099 | Val Loss: 0.4681
Epoch 77/150 | Train Loss: 0.4128 | Val Loss: 0.4122
Epoch 78/150 | Train Loss: 0.4039 | Val Loss: 0.4398
Epoch 79/150 | Train Loss: 0.4009 | Val Loss: 0.4168
