filename,kept_tiles,kept_tiles_plants,skipped_tiles
DJI_20231108134640_0088_D_point5.JPG,172,54,164
DJI_20231108134647_0091_D_point5.JPG,271,209,65
DJI_20231108134744_0117_D_point8.JPG,181,36,155
DJI_20231108134754_0122_D_point8.JPG,222,119,114
DJI_20231108134805_0127_D_point8.JPG,271,197,65
DJI_20231108134818_0133_D_point8.JPG,237,127,99
DJI_20231108134900_0153_D_point9.JPG,256,168,80
DJI_20231108134916_0160_D_point9.JPG,279,212,57
DJI_20231108134930_0166_D_point10.JPG,251,168,85
DJI_20231108134938_0170_D_point10.JPG,229,136,107
DJI_20231108134949_0175_D_point11.JPG,261,179,75
DJI_20231108135000_0180_D_point11.JPG,229,129,107
DJI_20231108135015_0187_D_point11.JPG,216,109,120
DJI_20231108135030_0194_D_point12.JPG,252,150,84
DJI_20231108135112_0212_D_point14.JPG,243,154,93
DJI_20231108135125_0218_D_point14.JPG,247,160,89
DJI_20231108135204_0236_D_point16.JPG,225,121,111
DJI_20231108135450_0312_D_point20.JPG,184,56,152
DJI_20231108135456_0315_D_point21.JPG,237,141,99
DJI_20231108135508_0320_D_point21.JPG,179,23,157
DJI_20231108140222_0018_D_point28.JPG,184,37,152
DJI_20231108140931_0039_D_point31.JPG,216,104,120
DJI_20231108140945_0045_D_point32.JPG,190,35,146
DJI_20231108141039_0070_D_point34.JPG,217,107,119
DJI_20231108141103_0081_D_point34.JPG,230,133,106
DJI_20231108141223_0119_D_point36.JPG,213,94,123
DJI_20231108141240_0127_D_point37.JPG,259,172,77
DJI_20231108141304_0137_D_point38.JPG,213,94,123
DJI_20231108141317_0143_D_point38.JPG,248,139,88
DJI_20231108141410_0166_D_point40.JPG,222,104,114
DJI_20231108141447_0183_D_point42.JPG,244,143,92
DJI_20231108141623_0227_D_point44.JPG,248,168,88
DJI_20231108143022_0607_D_point69.JPG,209,81,127
DJI_20231108145823_0085_D_point5.JPG,197,47,139
DJI_20231108145834_0089_D_point5.JPG,228,95,108
DJI_20231108145953_0123_D_point8.JPG,205,82,131
DJI_20231108150003_0128_D_point8.JPG,205,40,131
DJI_20231108150039_0144_D_point9.JPG,214,80,122
DJI_20231108150052_0150_D_point9.JPG,203,84,133
DJI_20231108150109_0157_D_point10.JPG,200,70,136
DJI_20231108150124_0164_D_point10.JPG,206,74,130
DJI_20231108150139_0171_D_point11.JPG,193,44,143
DJI_20231108150209_0184_D_point12.JPG,198,63,138
DJI_20231108150256_0002_D.JPG,195,25,141
DJI_20231108150418_0026_D.JPG,172,27,164
DJI_20231108155028_0043_D.JPG,335,331,1
DJI_20231108155041_0046_D.JPG,252,168,84
DJI_20231108155052_0049_D.JPG,307,269,29
DJI_20231108155116_0053_D.JPG,257,181,79
DJI_20231108155129_0056_D.JPG,269,212,67
DJI_20231108155156_0060_D.JPG,238,131,98
DJI_20231108155215_0065_D.JPG,234,133,102
DJI_20231108155229_0068_D.JPG,253,183,83
DJI_20231108155247_0071_D.JPG,232,147,104
DJI_20231108155316_0074_D.JPG,200,53,136
DJI_20231108155332_0078_D.JPG,210,78,126
DJI_20231108155348_0082_D.JPG,248,155,88
DJI_20231108155358_0084_D.JPG,258,151,78
DJI_20231108155514_0091_D.JPG,222,119,114
DJI_20231108155536_0095_D.JPG,250,148,86
TOTAL,13716,7249,6444
