filename,kept_tiles,kept_tiles_plants,skipped_tiles
DJI_20250929182121_0171_D_point701.JPG,41,4,295
DJI_20250929182133_0176_D_point706.JPG,38,4,298
DJI_20250929182207_0190_D_point720.JPG,45,7,291
DJI_20250929182217_0194_D_point724.JPG,39,14,297
DJI_20250929182323_0221_D_point751.JPG,49,25,287
DJI_20250929182403_0237_D_point767.JPG,42,16,294
DJI_20250929182416_0242_D_point771.JPG,30,4,306
DJI_20250929182501_0260_D_point788.JPG,41,5,295
DJI_20250929182514_0266_D_point795.JPG,48,20,288
DJI_20250929182852_0352_D_point882.JPG,38,4,298
DJI_20250929183258_0449_D_point977.JPG,48,8,288
DJI_20250929183507_0500_D_point1029.JPG,46,9,290
DJI_20250929183740_0548_D_point1077.JPG,51,11,285
DJI_20250929184707_0088_D_point1254.JPG,51,9,285
DJI_20250929185229_0206_D_point1372.JPG,44,9,292
DJI_20250929185337_0232_D_point1398.JPG,47,14,289
DJI_20250930170013_0010_D_point5.JPG,36,8,300
DJI_20250930170101_0020_D_point8.JPG,31,11,305
DJI_20250930170117_0027_D_point15.JPG,48,5,288
DJI_20250930171015_0160_D_point141.JPG,37,11,299
DJI_20250930171109_0181_D_point162.JPG,55,13,281
DJI_20250930171338_0214_D_point200.JPG,53,26,283
DJI_20250930171547_0238_D_point228.JPG,50,27,286
DJI_20250930171604_0244_D_point231.JPG,60,8,276
DJI_20250930174944_0014_D_point246.JPG,42,10,294
DJI_20250930175001_0021_D_point253.JPG,42,10,294
DJI_20250930175204_0047_D_point277.JPG,44,10,292
DJI_20250930175726_0128_D_point357.JPG,48,10,288
DJI_20250930175817_0149_D_point378.JPG,60,24,276
DJI_20250930175824_0152_D_point381.JPG,47,14,289
DJI_20250930180215_0205_D_point429.JPG,40,14,296
DJI_20250930180342_0236_D_point457.JPG,56,24,280
DJI_20250930180809_0294_D_point508.JPG,49,12,287
DJI_20250930184853_0025_D_point22.JPG,55,30,281
DJI_20250930184931_0040_D_point37.JPG,57,22,279
DJI_20250930185128_0086_D_point79.JPG,46,18,290
DJI_20250930185329_0133_D_point127.JPG,58,24,278
DJI_20250930185440_0161_D_point155.JPG,75,39,261
DJI_20250930190052_0008_D_point178.JPG,100,77,236
DJI_20250930190102_0012_D_point181.JPG,63,35,273
DJI_20250930190152_0032_D_point199.JPG,130,100,206
DJI_20250930190200_0035_D_point202.JPG,54,27,282
DJI_20250930190345_0078_D_point245.JPG,175,157,161
DJI_20250930190607_0126_D_point293.JPG,103,72,233
DJI_20250930190700_0147_D_point314.JPG,140,118,196
DJI_20250930190809_0174_D_point341.JPG,67,37,269
DJI_20250930190910_0198_D_point365.JPG,56,16,280
DJI_20250930191005_0220_D_point387.JPG,117,98,219
DJI_20250930191102_0243_D_point410.JPG,104,74,232
DJI_20250930191305_0291_D_point458.JPG,72,46,264
DJI_20250930191502_0337_D_point504.JPG,63,40,273
DJI_20250930191607_0363_D_point530.JPG,68,32,268
DJI_20251001143635_0008_D_point6.JPG,63,32,273
DJI_20251001143755_0040_D_point37.JPG,65,41,271
DJI_20251001151036_0093_D_point101.JPG,36,4,300
DJI_20251001151459_0200_D_point193.JPG,31,4,305
DJI_20251001153956_0085_D_point856.JPG,37,8,299
DJI_20251001163427_0013_D_point11.JPG,34,7,302
DJI_20251001163629_0062_D_point60.JPG,44,9,292
DJI_20251001163833_0111_D_point109.JPG,39,6,297
TOTAL,3448,1573,16712
